ligand,receptor,species
ICOSLG,ICOS,Human
ICOSLG,CD28,Human
CD80,CD28,Human
CD86,CD28,Human
TNFSF14,TNFRSF14,Human
CD40LG,CD40,Human
PVR,CD226,Human
NECTIN2,CD226,Human
CD86,CTLA4,Human
CD80,CTLA4,Human
PDCD1LG2,PDCD1,Human
CD274,PDCD1,Human
CD274,CD80,Human
TNFRSF14,CD160,Human
TNFRSF14,BTLA,Human
CD48,CD244,Human
ICOSLG,CTLA4,Human
CADM1,CRTAM,Human
LTA,TNFRSF1A,Human
TNF,TNFRSF1B,Human
TNFSF14,LTBR,Human
FASLG,FAS,Human
TNFSF10,TNFRSF10A,Human
TNFSF10,TNFRSF10B,Human
PDCD1LG2,RGMB,Human
A2M,LRP1,Human
AANAT,MTNR1A,Human
AANAT,MTNR1B,Human
ACE,AGTR2,Human
ACE,BDKRB2,Human
ADAM10,AXL,Human
ADAM10,EPHA3,Human
ADAM12,ITGA9,Human
ADAM12,ITGB1,Human
ADAM12,SDC4,Human
ADAM15,ITGA5,Human
ADAM15,ITGA9,Human
ADAM15,ITGAV,Human
ADAM15,ITGB1,Human
ADAM15,ITGB3,Human
ADAM17,ERBB4,Human
ADAM17,ITGA5,Human
ADAM17,ITGB1,Human
ADAM17,NOTCH1,Human
ADAM23,ITGA5,Human
ADAM23,ITGB3,Human
ADAM28,ITGA4,Human
ADAM2,ITGA6,Human
ADAM2,ITGA9,Human
ADAM2,ITGB1,Human
ADAM2,ITGB7,Human
ADAM9,ITGA3,Human
ADAM9,ITGA6,Human
ADAM9,ITGAV,Human
ADAM9,ITGB1,Human
ADAM9,ITGB5,Human
ADCYAP1,ADCYAP1R1,Human
ADCYAP1,SCTR,Human
ADCYAP1,VIPR1,Human
ADCYAP1,VIPR2,Human
ADIPOQ,ADIPOR1,Human
ADIPOQ,ADIPOR2,Human
ADM2,CALCR,Human
ADM2,CALCRL,Human
ADM2,RAMP1,Human
ADM,CALCR,Human
ADM,CALCRL,Human
ADM,RAMP2,Human
AGRN,ATP1A3,Human
AGRP,MC3R,Human
AGRP,MC4R,Human
AGRP,MC5R,Human
AGRP,SDC3,Human
AGT,AGTR1,Human
AGT,AGTR2,Human
AGT,LRP2,Human
AHSG,INSR,Human
ALB,LRP2,Human
AMH,ACVR1,Human
AMH,AMHR2,Human
AMH,EGFR,Human
ANGPT1,ITGA5,Human
ANGPT1,TEK,Human
ANGPT2,TEK,Human
ANGPT4,TEK,Human
ANGPTL1,TEK,Human
ANGPTL3,ITGA5,Human
ANGPTL3,ITGAV,Human
ANGPTL3,ITGB3,Human
ANXA1,DYSF,Human
ANXA1,EGFR,Human
ANXA1,FPR1,Human
ANXA1,FPR2,Human
ANXA1,FPR3,Human
APLN,APLNR,Human
APOB,LDLR,Human
APOB,LRP2,Human
APOB,LSR,Human
APOB,OLR1,Human
APOD,LEPR,Human
APOE,LDLR,Human
APOE,LRP1,Human
APOE,LRP2,Human
APOE,LRP5,Human
APOE,LRP8,Human
APOE,VLDLR,Human
APP,CAV1,Human
APP,CD74,Human
APP,FPR2,Human
APP,GPC1,Human
APP,LRP1,Human
APP,NCSTN,Human
AREGB,EGFR,Human
AREG,EGFR,Human
AREG,ERBB3,Human
ARF1,CHRM3,Human
ARF1,INSR,Human
ARF1,PLD2,Human
ARTN,GFRA1,Human
ARTN,GFRA3,Human
ARTN,RET,Human
ASIP,F11R,Human
ASIP,MC1R,Human
ASIP,MC2R,Human
ASIP,MC3R,Human
ASIP,MC4R,Human
ASIP,MC5R,Human
AVP,AVPR1A,Human
AVP,AVPR1B,Human
AVP,AVPR2,Human
AVP,OXTR,Human
AZGP1,ITGAV,Human
B2M,CD1A,Human
B2M,CD1B,Human
B2M,HFE,Human
B2M,HLA-F,Human
B2M,LILRB1,Human
BDNF,NGFR,Human
BDNF,NTRK2,Human
BDNF,SORT1,Human
BGN,TLR2,Human
BGN,TLR4,Human
BMP10,ACVR2A,Human
BMP10,ACVRL1,Human
BMP10,BMPR1A,Human
BMP10,BMPR1B,Human
BMP10,BMPR2,Human
BMP15,ACVR2A,Human
BMP15,BMPR1A,Human
