receptor,tf,species
ICOS,PTEN,Human
ICOS,AKT3,Human
ICOS,AKT1,Human
ICOS,AKT2,Human
ICOS,FOXO1,Human
ICOS,FOXO3,Human
ICOS,NFKB1,Human
ICOS,RELA,Human
ICOS,BIN1,Human
ICOS,HIF1A,Human
ICOS,THRA,Human
ICOS,SRC,Human
ICOS,TRIM24,Human
ICOS,BCR,Human
ICOS,CUX1,Human
ICOS,LRRFIP1,Human
ICOS,CNTRL,Human
ICOS,ZMYM2,Human
ICOS,PDGFB,Human
ICOS,ESR1,Human
ICOS,PDGFA,Human
ICOS,ESR2,Human
ICOS,IL2,Human
ICOS,NME2,Human
ICOS,NPM1,Human
ICOS,ETV6,Human
ICOS,TRIP11,Human
ICOS,SOS1,Human
ICOS,ENO1,Human
ICOS,EGFR,Human
ICOS,STAT3,Human
ICOS,PRKCA,Human
ICOS,MAPK1,Human
ICOS,MAPK3,Human
ICOS,FLT1,Human
ICOS,ATF4,Human
ICOS,IKBKB,Human
ICOS,NFKB2,Human
ICOS,RELB,Human
ICOS,IKBKG,Human
ICOS,STAT5A,Human
ICOS,STAT5B,Human
ICOS,MAPK8,Human
ICOS,MAPK9,Human
ICOS,MAPK10,Human
ICOS,STAT1,Human
ICOS,STAT2,Human
ICOS,TRAF6,Human
ICOS,SOS2,Human
ICOS,PPARG,Human
ICOS,PARP1,Human
ICOS,RB1CC1,Human
ICOS,STAT4,Human
ICOS,STAT6,Human
ICOS,RBCK1,Human
ICOS,TP53,Human
ICOS,CDKN1A,Human
ICOS,CDKN2A,Human
ICOS,PPP3R1,Human
ICOS,MAPK14,Human
ICOS,MAPK11,Human
ICOS,MAPK13,Human
ICOS,MAPK12,Human
ICOS,WWTR1,Human
ICOS,RASGRF1,Human
ICOS,CTNNB1,Human
ICOS,SNAI1,Human
ICOS,GATA4,Human
ICOS,SRSF1,Human
ICOS,IRF4,Human
ICOS,RORA,Human
ICOS,RORC,Human
ICOS,FOS,Human
